run number	sum (time * BBCC rate)
23041034	595.181
23041041	595.181
23041043	595.181
23041044	595.181
23041045	595.181
23041046	595.181
23041047	595.181
23041048	595.181
23041049	595.181
23041051	595.181
23041052	595.181
23041053	595.241
23041054	595.316
23041055	595.957
23041056	596.569
23042001	597.16
23042002	597.652
23042003	598.24
23042004	598.777
23042007	599.079
23042008	599.569
23042009	600.067
23042010	600.68
23042014	601.289
23042015	601.833
23042016	601.995
23042017	602.533
23042018	602.558
23042019	603.051
23042020	603.559
23042021	603.837
23042022	603.977
23042024	603.977
23042025	603.977
23042026	604.037
23042027	604.771
23042028	605.54
23042029	606.214
23042030	606.904
23042031	607.592
23042032	607.675
23042033	607.731
23042034	607.758
23042035	607.795
23042036	607.832
23042037	608.008
23042038	608.048
23042039	608.691
23042040	609.087
23042041	609.087
23042042	609.087
23042043	609.087
23042044	609.087
23042045	609.119
23042046	609.151
23042047	609.955
23042048	610.588
23042049	611.219
23042051	611.771
23042052	611.855
23042053	611.893
23042054	612.462
23042055	612.89
23042056	613.491
23042057	613.833
23042058	614.421
23042059	614.994
23042060	615.545
23042061	616.129
23042062	616.649
23042063	617.169
23042065	617.712
23042066	617.728
23042067	617.987
23043001	618.196
23043002	618.196
23043003	618.34
23043006	619.43
23043008	619.48
23043010	620.131
23043011	620.74
23043014	621.366
23043016	621.574
23043017	621.81
23043018	621.898
23043020	622.509
23043023	623.133
23043024	623.18
23043025	623.725
23043027	624.365
23043033	625.193
23043036	625.881
23043037	626.135
23043039	626.72
23043040	627.126
23043041	627.147
23043042	627.147
23043046	627.147
23043047	627.147
23043048	627.147
23043049	627.174
23043050	627.831
23043051	628.55
23043052	628.577
23043053	629.226
23043054	629.523
23043055	630.246
23043056	630.997
23043057	631.688
23043058	631.81
23043059	632.542
23043060	632.733
23043061	633.296
23043062	633.484
23043063	633.625
23043064	633.722
23043065	633.74
23043066	634.28
23043067	634.807
23043068	635.332
23043069	635.845
23043070	636.34
23043071	636.67
23043072	636.706
23043073	636.706
23043074	636.746
23043075	636.774
23043076	637.327
23043077	637.863
23043084	638.438
23043085	638.908
23044001	639.463
23044004	640.114
23044005	640.63
23044008	641.2
23044009	641.216
23044012	641.699
23044013	641.787
23044016	642.544
23044017	642.68
23044018	642.739
23044019	643.25
23044020	643.751
23044021	644.317
23044022	645.058
23044023	645.19
23044024	645.19
23044025	645.216
23044026	646.014
23044027	646.674
23044028	647.218
23044029	647.529
23044030	648.448
23044031	649.12
23044032	649.156
23044033	649.5
23044034	649.518
23044035	650.084
23044036	650.751
23044037	651.52
23044038	652.144
23044039	652.705
23044040	652.946
23044041	653.398
23044042	653.801
23044043	653.917
23044044	653.917
23044045	653.952
23044046	654.492
23044047	654.99
23044048	655.477
23044049	656.019
23044050	656.036
23044051	656.054
23044052	656.601
23044053	657.126
23044055	657.251
23044057	657.831
23044058	658.331
23044059	658.822
23044060	659.09
23044061	659.106
23045001	659.431
23045003	659.497
23045004	659.643
23045005	659.643
23045006	659.689
23045007	660.452
23045011	661.176
23045012	661.24
23045015	661.313
23045017	661.895
23045025	663.372
23045026	664.068
23045028	664.661
23045029	665.214
23045030	665.239
23045031	665.474
23045033	665.557
23045034	665.557
23045036	665.557
23045037	665.557
23045038	665.557
23045039	665.557
23045040	665.557
23045041	665.557
23045042	665.557
23045043	665.557
23045044	665.557
23045045	665.595
23045046	665.839
23045047	666.389
23045048	666.911
23045049	667.362
23045050	667.736
23045051	667.736
23045052	667.736
23045053	667.736
23046001	667.736
23046002	667.771
23046003	668.386
23046004	668.964
23046005	669.522
23046006	670.071
23046009	670.516
23046010	671.11
23046011	671.68
23046012	671.977
23046013	672.525
23046014	673.069
23046015	673.282
23046016	673.844
23046017	674.411
23046018	674.783
23046019	674.914
23046020	674.914
23046021	674.914
23046022	674.914
23046023	674.914
23046024	674.914
23046025	674.914
23046026	674.914
23046027	674.914
23046028	674.914
23046029	674.914
23046030	674.914
23046031	674.914
23046032	674.914
23046034	674.914
23046035	674.914
23046036	674.914
23046037	674.914
23046038	674.914
23046039	674.914
23046040	674.914
23046041	674.914
23046042	674.914
23047001	674.977
23047002	675.575
23047003	676.147
23047004	676.699
23047005	677.269
23047006	677.862
23047007	678.485
23047008	679.019
23047009	679.568
23047010	679.881
23047012	679.985
23047013	680.505
23047014	681.076
23047017	681.635
23047018	682.226
23047019	682.779
23047020	683.297
23047021	683.811
23047022	684.078
23047023	684.582
23047024	684.582
23047025	684.582
23047026	684.582
23047027	684.582
23047028	684.582
23047029	684.582
23047030	684.582
23047031	684.758
23047032	684.834
23047033	685.151
23047034	685.233
23047035	685.377
23047036	685.966
23047037	686.035
23047038	686.112
23047039	686.172
23047040	686.702
23048001	687.085
23048002	687.171
23048003	687.757
23048004	688.345
23048005	688.911
23048006	689.446
23048007	689.986
23048008	690.103
23048011	690.717
23048015	691.379
23048016	691.663
23048017	692.189
23048018	692.705
23048019	693.001
23048020	693.115
23048021	693.122
23048022	693.122
23048023	693.141
23048024	693.188
23048025	693.587
23048026	693.799
23048027	694.719
23048028	694.926
23048029	695.513
23048030	695.721
23048031	696.013
23048032	696.219
23048033	696.971
23048034	697.117
23048035	697.328
23048036	697.374
23048037	697.406
23048038	697.556
23048039	697.556
23048042	697.556
23048044	697.556
23048045	697.556
23048046	697.556
23048047	697.556
23048048	697.556
23048049	697.556
23048050	697.593
23048051	698.302
23048052	698.987
23048053	699.1
23048054	699.1
23048055	699.1
23048056	699.1
23048057	699.128
23048058	699.175
23049001	699.873
23049002	700.409
23049003	700.912
23049004	701.486
23049005	701.54
23049006	701.586
23049007	701.74
23049008	702.291
23049009	702.828
23049010	703.173
23049012	703.315
23049013	703.465
23049014	703.85
23049015	703.85
23049016	703.904
23049018	704.336
23049020	704.395
23049021	704.626
23049022	704.726
23049023	704.726
23049024	704.726
23049025	704.726
23049026	704.748
23049027	705.064
23049029	705.711
23049030	705.766
23049031	706.227
23049032	706.545
23049034	706.805
23049035	707.061
23049036	707.843
23049037	708.662
23049038	709.54
23049040	710.564
23049043	710.61
23049045	710.764
23049046	711.142
23049047	712.012
23049048	712.86
23049049	713.236
23049050	713.935
23050001	714.242
23050002	714.775
23050003	715.266
23050004	715.741
23050005	716.216
23050006	716.676
23050008	717.152
23050009	717.606
23050010	717.763
23050011	717.891
23050015	717.968
23050016	718.082
23050017	718.18
23050018	718.306
23050019	718.355
23050020	718.733
23050021	718.733
23050022	718.733
23050023	718.733
23050024	718.76
23050025	718.787
23050026	719.346
23050027	719.978
23050028	720.477
23050029	720.811
23050030	720.891
23050031	721.434
23050032	721.792
23050033	722.617
23050035	723.223
23050036	723.904
23050037	724.43
23050038	725.03
23050042	725.839
23050043	726.121
23050044	726.557
23050045	726.646
23050046	726.646
23050047	726.646
23050048	726.688
23050049	726.727
23050050	726.775
23050051	727.502
23050052	728.153
23050053	728.918
23050054	729.586
23050055	730.257
23050056	730.905
23050063	731.818
23050064	732.06
23050065	732.622
23051001	733.239
23051002	733.731
23051003	734.244
23051004	734.259
23051005	734.282
23051006	734.297
23051007	734.313
23051008	734.336
23051009	734.821
23051010	735.083
23051011	735.18
23051012	735.18
23051013	735.209
23051014	735.798
23051015	736.351
23051016	736.578
23051017	737.109
23051018	737.126
23051019	737.143
23051020	737.16
23051021	737.177
23051022	737.202
23051023	737.518
23051024	737.536
23051025	737.621
23051026	737.64
23051027	738.214
23051028	738.773
23051029	739.315
23051030	740.084
23051031	740.548
23051032	740.584
23051033	741.182
23051037	741.972
23051039	742.307
23051042	742.365
23051043	742.398
23051044	742.912
23051046	743.47
23051047	743.556
23051048	743.585
23051049	743.646
23051050	744.328
23051051	745.227
23051052	746
23051053	746.577
23051054	746.636
23051055	746.849
23051056	746.926
23051057	747.012
23051058	747.079
23051059	747.136
23051060	747.287
23051061	747.362
23051062	747.641
23051063	747.743
23051064	747.844
23051065	747.971
23051066	748.008
23051067	748.732
23051068	749.434
23051069	750.086
23051070	750.77
23051071	751.393
23051072	752.068
23051073	752.462
23051074	752.462
23052001	752.462
23052002	752.495
23052003	752.565
23052004	753.284
23052005	753.877
23052006	754.444
23052007	754.646
23052008	754.881
23052014	755.639
23052016	756.277
23052017	756.87
23052028	758.259
23052030	758.435
23052031	758.49
23052032	759.037
23052036	759.733
23052038	759.803
23052039	760.1
23052040	760.169
23052041	760.899
23052042	761.065
23052043	761.198
23052044	761.252
23052045	761.252
23052046	761.252
23052047	761.278
23052048	762.209
23052049	762.294
23052050	762.964
23052051	763.65
23052053	764.358
23052054	765.18
23052055	765.837
23052056	766.43
23052057	766.852
23052058	767.687
23052059	768.359
23052060	768.395
23052061	769.054
23052062	769.713
23052063	770.04
23052064	770.127
23052065	770.127
23052066	770.127
23052067	770.127
23052068	770.127
23052069	770.498
23052070	770.549
23052071	770.691
23052072	771.45
23052073	772.197
23052074	772.621
23052075	772.672
23052076	772.774
23052077	772.896
23052078	773.495
23052079	774.227
23053001	774.953
23053002	775.514
23053003	776.023
23053007	776.669
23053008	777.154
23053009	777.729
23053014	778.016
23053015	778.564
23053016	779.104
23053017	779.181
23053018	779.34
23053019	779.34
23053020	779.34
23053021	779.34
23053022	779.34
23053023	779.368
23053024	779.991
23053025	780.591
23053026	781.147
23053027	781.802
23053028	782.439
23053029	783.057
23053030	783.678
23053031	784.103
23053032	784.212
23053033	784.212
23053035	784.212
23053036	784.212
23053037	784.212
23053038	784.212
23053039	784.212
23053040	784.297
23053041	784.8
23053042	785.537
23053043	786.238
23053044	786.461
23053045	787.178
23053046	787.932
23053047	788.59
23053048	789.296
23053049	789.796
23053057	790.526
23053058	790.561
23053059	790.614
23053060	790.675
23053061	790.71
23053062	790.745
23053064	791.093
23053065	791.335
23053066	791.37
23053067	791.61
23053068	791.678
23053069	791.797
23053070	791.958
23053071	792.652
23053072	792.776
23053073	792.776
23054001	792.776
23054002	792.905
23054003	793.622
23054004	794.293
23054005	794.938
23054006	795.562
23054007	796.156
23054008	796.815
23054009	797.437
23054011	798.091
23054014	798.729
23054015	799.323
23054016	799.779
23054017	799.996
23054018	799.996
23054019	799.996
23054020	799.996
23054021	799.996
23054022	799.996
23054023	799.996
23054024	799.996
23054025	799.996
23054026	799.996
23054027	799.996
23054028	799.996
23054030	799.996
23054031	799.996
23054032	799.996
23054033	799.996
23054034	799.996
23054035	799.996
23054036	799.996
23054037	799.996
23054038	799.996
23054039	799.996
23054040	799.996
23054041	800.051
23054045	800.865
23054046	801.567
23054047	802.241
23054048	802.617
23054049	803.289
23054050	803.94
23054051	804.466
23054052	804.787
23054053	805.276
23055001	805.823
23055002	806.351
23055004	806.919
23055005	807.428
23055006	807.926
23055007	808.061
23055008	808.117
23055009	808.243
23055010	808.243
23055011	808.273
23055012	808.561
23055013	808.717
23055014	808.965
23055015	809.04
23055016	809.626
23055018	810.109
23055019	810.448
23055020	810.671
23055021	810.691
23055022	810.731
23055024	810.839
23055025	810.928
23055026	811.278
23055028	811.846
23055029	812.427
23055030	812.993
23055031	813.502
23055032	814.119
23055033	814.721
23055034	815.292
23055036	815.947
23055039	816.262
23055041	816.844
23055042	817.096
23055043	817.58
23055044	817.638
23055045	818.129
23055046	818.23
23055047	818.23
23055048	818.23
23055049	818.23
23055050	818.23
23055051	818.23
23055052	818.23
23055054	818.23
23055055	818.23
23055056	818.23
23055057	818.233
23055058	818.235
23055059	818.237
23055060	818.238
23055061	818.239
23055062	818.24
23055063	818.24
23055064	818.243
23055065	818.245
23055066	818.248
23055067	818.249
23055069	818.252
23055070	818.48
23055075	818.544
23056001	819.021
23056003	819.596
23056005	820.206
23056006	820.744
23056007	821.315
23056008	821.869
23056012	822.053
23056013	822.584
23056014	823.107
23056015	823.628
23056016	823.836
23056020	824.342
23056021	824.342
23056022	824.342
23056023	824.342
23056024	824.342
23056025	824.342
23056026	824.342
23056027	824.342
23056028	824.342
23056029	824.342
23056030	824.342
23056031	824.342
23056032	824.342
23056033	824.342
23056034	824.342
23056035	824.342
23056036	824.342
23056037	824.342
23056038	824.419
23056039	824.419
23057001	824.419
23057002	824.419
23057003	824.419
23057004	824.419
23057005	824.419
23057006	824.419
23057007	824.419
23057008	824.419
23057009	824.419
23057010	824.419
23057011	824.419
23057012	824.419
23057013	824.419
23057014	824.419
23057015	824.419
23057016	824.419
23057017	824.419
23057018	824.419
23057019	824.419
23057020	824.419
23057021	824.419
23057022	824.419
23057023	824.419
23057024	824.419
23057025	824.419
23057026	824.419
23057027	824.419
23057028	824.457
23057032	824.824
23057033	825.306
23057034	825.827
23057035	826.406
23057036	827.052
23057037	827.752
23057038	828.006
23057039	828.62
23057040	829.161
23057041	829.753
23057042	830.221
23057043	830.664
23057044	831.227
23057045	831.369
23057046	831.452
23057048	832.02
23057049	832.079
23058001	832.079
23058003	832.138
23058004	832.337
23058005	832.909
23058006	833.448
23058007	833.765
23058010	834.403
23058011	834.57
23058012	834.57
23058014	834.57
23058015	834.57
23058016	834.57
23058017	834.57
23058018	834.57
23058019	834.57
23058020	834.57
23058021	834.57
23058022	834.57
23058023	834.57
23058024	834.57
23058025	834.57
23058026	834.602
23058027	835.101
23058028	835.406
23058029	835.902
23058030	836.527
23058031	836.845
23058032	837.334
23058033	837.826
23058034	837.855
23058035	837.893
23058036	838.129
23058037	838.582
23058038	839.034
23058039	839.294
23058040	839.88
23058042	839.948
23058043	840.513
23058044	841.098
23058045	841.425
23058046	841.425
23058047	841.444
23058048	841.572
23058049	842.292
23058050	842.989
23058051	843.653
23058052	843.832
23059001	844.547
23059002	844.718
23059003	844.97
23059004	845.103
23059005	845.153
23059006	845.26
23059007	845.441
23059008	845.652
23059010	846.171
23059011	846.227
23059013	846.626
23059014	847.149
23059015	847.661
23059016	847.726
23059018	847.913
23059019	848.442
23059022	848.976
23059023	849.386
23059024	849.477
23059025	849.477
23059026	849.509
23059027	850.154
23059028	850.295
23059029	850.942
23059030	851.443
23059032	852.133
23059033	852.285
23059034	852.366
23059035	853
23059036	853.615
23059037	854.196
23059038	854.783
23059039	855.125
23059040	855.125
23059041	855.125
23059042	855.125
23059043	855.125
23059044	855.125
23059045	855.125
23059046	855.125
23059047	855.125
23059048	855.125
23059049	855.125
23059050	855.125
23059051	855.125
23059052	855.125
23059053	855.125
23059054	855.125
23059055	855.125
23059056	855.125
23059057	855.125
23059062	855.199
23059064	855.898
23059065	856.546
23059066	856.597
23059067	856.866
23059068	857.314
23059069	857.702
23059070	858.289
23059071	858.911
23059072	859.262
23059073	859.917
23060001	860.469
23060002	861.052
23060004	861.621
23060005	862.13
23060006	862.645
23060007	862.751
23060008	863.271
23060009	863.327
23060010	863.454
23060011	863.454
23060012	863.49
23060013	864.093
23060014	864.697
23060015	865.262
23060016	865.765
23060017	865.765
23060018	865.765
23060019	865.765
23060020	865.765
23060021	865.803
23060022	866.357
23060023	866.904
23060024	867.406
23060025	867.955
23060029	868.202
23060030	868.741
23060031	869.385
23060032	869.97
23060033	870.582
23060034	870.983
23060037	871.605
23060040	872.052
23060042	872.601
23060043	873.106
23060044	873.587
23060046	873.653
23060047	873.676
23060048	873.708
23060049	873.807
23060050	873.826
23060051	873.903
23060052	874.105
23060053	874.171
23060054	874.171
23060055	874.171
23060056	874.21
23060057	874.515
23060061	874.94
23061001	875.101
23061002	875.16
23061003	875.21
23061004	875.243
23061005	875.752
23061008	876.446
23061009	876.634
23061010	877.248
23061011	877.471
23061012	877.927
23061013	878.44
23061015	878.789
23061016	879.334
23061017	879.996
23061018	880.232
23061019	880.541
23061020	880.806
23061023	881.32
23061024	881.825
23061025	881.912
23061026	881.928
23061027	882.038
23061028	882.038
23061029	882.038
23061030	882.038
23061031	882.038
23061032	882.038
23061033	882.038
23061034	882.038
23061036	882.038
23061037	882.038
23061038	882.038
23061039	882.038
23061040	882.038
23061041	882.038
23061042	882.038
23061043	882.038
23061044	882.038
23061045	882.038
23061046	882.038
23061047	882.038
23061048	882.038
23061049	882.038
23061051	882.039
23061053	882.04
23061054	882.041
23061055	882.043
23062001	882.044
23062002	882.045
23062004	882.046
23062005	882.047
23062007	882.049
23062008	882.05
23062010	882.051
23062011	882.052
23062012	882.054
23062013	882.054
23062014	882.054
23062015	882.054
23062016	882.054
23062017	882.054
23062018	882.054
23062019	882.054
23062020	882.054
23062021	882.054
23062022	882.054
23062023	882.054
23062024	882.054
23062025	882.054
23062026	882.054
23062027	882.054
23062028	882.054
23062029	882.054
23062030	882.054
23062031	882.054
23062032	882.054
23062033	882.054
23062034	882.054
23062035	882.054
23062036	882.054
23062037	882.054
23062038	882.054
23062039	882.054
23062040	882.054
23062041	882.054
23062042	882.054
23063001	882.054
23063002	882.054
23063003	882.054
23063004	882.054
23063005	882.054
23063006	882.112
23063007	882.187
23063008	882.219
23063009	882.627
23063010	882.667
23063011	882.783
23063012	882.83
23063013	883.434
23063014	883.879
23063015	884.089
23063016	884.58
23063017	885.066
23063018	885.311
23063019	885.844
23063020	886.339
23063021	886.769
23063022	886.769
23063023	886.769
23063024	886.769
23063025	886.769
23063026	886.769
23063027	886.77
23063028	886.772
23063029	886.773
23063030	886.775
23063031	886.776
23063032	886.777
23063033	886.779
23063034	886.78
23063035	886.781
23063036	886.782
23063037	886.784
23063038	886.784
23063039	886.818
23063040	887.434
23064001	887.751
23064002	888.33
23064003	888.871
23064004	889.192
23064005	889.801
23064006	890.421
23064010	890.562
23064011	890.562
23064012	890.562
23064013	890.562
23064014	890.562
23064015	890.562
23064016	890.562
23064017	890.562
23064019	890.648
23064020	891.256
23064021	891.572
23064022	892.147
23064023	892.174
23064024	892.93
23064025	893.604
23064026	894.009
23064027	894.218
23064028	894.245
23064030	894.887
23064031	895.429
23064032	895.455
23064033	896.158
23064034	896.516
23064035	896.553
23064036	896.58
23064037	897.157
23064042	897.686
23064043	898.232
23064046	898.335
23064047	898.853
23064048	899.146
23064049	899.374
23064050	899.443
23064051	899.443
23064052	899.443
23064054	899.443
23064055	899.47
23064056	899.618
23064057	899.618
23064058	899.648
23064059	899.793
23064060	899.841
23064062	900.023
23064063	900.136
23064064	900.716
23064065	900.841
23064067	901.14
23064068	901.893
23064069	902.47
23064070	903.031
23065001	903.586
23065002	904.111
23065003	904.65
23065005	905.078
23065006	905.531
23065007	906.072
23065008	906.628
23065010	907.182
